"ID","KUNDNR","TYP","EFTERNAMN","EPOST","FORNAMN","TELNR","BESKRIVNING","BEFATTNING","MOBILNR"
1,20215132,"A","Personalchef Per Ek tel 08-77 77 78","(null)","(null)","(null)","(null)","(null)","(null)"
5,20213479,"A","Sanna Malm","sanna.kh@.com","(null)","(null)","(null)","(null)","(null)"
6,20215632,"A","Personalochef Lars Ek 08-171312","lars.ek@ITcom.Now","(null)","(null)","(null)","(null)","(null)"
7,20215632,"F","Fredrik Lööv SIF 08-171320","fredrik.loov@ITcom.Now","(null)","(null)","(null)","(null)","(null)"
8,20215389,"A","Thomas Klasson 08-333 666","(null)","(null)","(null)","(null)","(null)","(null)"
9,20215389,"A","Carlos Cerna 08-111 888","(null)","(null)","(null)","(null)","(null)","(null)"
10,20213306,"A","Bert Bok","(null)","(null)","(null)","(null)","(null)","(null)"
11,20213306,"A","Britta Band","(null)","(null)","(null)","(null)","(null)","(null)"
12,20213306,"F","Harry Häftsson","(null)","(null)","(null)","(null)","(null)","(null)"
13,20213991,"A","Sigge Bilaj","sigge.bilaj@manpower.se","(null)","(null)","(null)","(null)","(null)"
14,20213992,"A","Gunnar Ericsson","(null)","(null)","(null)","(null)","(null)","(null)"
15,20213992,"A","Petra Robertsson","(null)","(null)","(null)","(null)","(null)","(null)"
16,20213993,"A","Viola Pettersson","viola.pettersson@ica.violen.se","(null)","(null)","(null)","(null)","(null)"
17,20213993,"F","Kent Karlssson","kent.karlsson@st.se","(null)","(null)","(null)","(null)","(null)"
18,20213993,"F","Gudrun Gustavsson","gudrun.gustavsson@handel.se","(null)","(null)","(null)","(null)","(null)"
19,20213966,"A","Personalchef Per Eek","(null)","(null)","(null)","(null)","(null)","(null)"
20,20213966,"F","Pia  Johansson, SIF","(null)","(null)","(null)","(null)","(null)","(null)"
21,20213966,"F","Nisse Hult, CF","(null)","(null)","(null)","(null)","(null)","(null)"
22,20213966,"F","Si Persson, Metall","(null)","(null)","(null)","(null)","(null)","(null)"
23,20213963,"A","Per Ek, Personalchef","per.ek@velofoam.se","(null)","(null)","(null)","(null)","(null)"
24,20213963,"F","Nisse Hult, CF","nisse.hult@cf.se","(null)","(null)","(null)","(null)","(null)"
25,20213963,"F","Pia Johansson, SIF","p.johansson@sif.se","(null)","(null)","(null)","(null)","(null)"
26,20213963,"F","Siv Persson, Metall","siv.p@metall.se","(null)","(null)","(null)","(null)","(null)"
27,20215732,"A","Gustaf af Skruf, Verkstadschef","gus.af.skruf@mutter.telia.se","(null)","(null)","(null)","(null)","(null)"
