id;name;login;email;active_partner;partner_id/id;partner_id/name;lang;password;internal;groups_id/id;groups_id/name;;
user_demo_comp_cct_10000001;Olov Lindvall usr ;OTCKV;olov.lindvall@hk.se;TRUE;demo_comp_cct_10000001;Contact;sv_SE;IQQ60XLH7VK;TRUE;;;;
user_demo_comp_cct_10000002;Emely Svensson (comp 10019) usr ;JUFFQ;disa.wilhelmsson.(comp.10037)@hk.se;TRUE;demo_comp_cct_10000002;Contact;sv_SE;HFX16NUL3YP;TRUE;;;;
user_demo_comp_cct_10000003;Bertil Sundell (comp 10020) usr ;NYIWG;fritiof.lindholm.(comp.10038)@hk.se;TRUE;demo_comp_cct_10000003;Contact;sv_SE;ZFR80EOS6FU;TRUE;;;;
user_demo_comp_cct_10000004;Lillie Forslund (comp 10021) usr ;IBZJE;greta.von.(comp.10039)@hk.se;TRUE;demo_comp_cct_10000004;Contact;sv_SE;XOY21MJH2CI;TRUE;;;;
user_demo_comp_cct_10000005;Hannah Svan (comp 10022) usr ;KKXEV;melisa.mattiasson.(comp.10040)@hk.se;TRUE;demo_comp_cct_10000005;Contact;sv_SE;BXX59OJO3EM;TRUE;;;;
user_demo_comp_cct_10000006;Ivan Holgersson (comp 10023) usr ;HVFCA;amira.johansson.(comp.10041)@hk.se;TRUE;demo_comp_cct_10000006;Contact;sv_SE;WQW55OVR3UF;TRUE;;;;
user_demo_comp_cct_10000007;Emily Sandin (comp 10024) usr ;FDPAJ;lukas.kling.(comp.10042)@hk.se;TRUE;demo_comp_cct_10000007;Contact;sv_SE;KWH39TIO1YN;TRUE;;;;
user_demo_comp_cct_10000008;Per Sjölin (comp 10025) usr ;AYQGJ;erik.berndtsson.(comp.10043)@hk.se;TRUE;demo_comp_cct_10000008;Contact;sv_SE;NPC70XFS6UZ;TRUE;;;;
user_demo_comp_cct_10000009;Chloe Berger (comp 10026) usr ;ISRFY;elisabeth.vestling.(comp.10044)@hk.se;TRUE;demo_comp_cct_10000009;Contact;sv_SE;EKK36EVR1SO;TRUE;;;;
user_demo_comp_cct_10000010;Jackie Falck (comp 10027) usr ;CSXAK;dilara.widlund.(comp.10045)@hk.se;TRUE;demo_comp_cct_10000010;Contact;sv_SE;XYI13VGW7FB;TRUE;;;;
