OUPS_ID_ID;GROUPS_ID_NAME;User Name;pass;User2 Id;User2 Name;Ämne;START_TIME;Duration;STOP_TIME
user_demo_comp_cct_10000001;OTCKV;Ronya Liljedahl usr ;IQQ60XLH7VK;demo_comp_cct_10000019;Ronya Liljedahl;Möte med Ronya Liljedahl;2020-04-10 11:30;1900-01-01 00:30;2020-04-11 12:00
user_demo_comp_cct_10000002;JUFFQ;Sten Tuvesson usr ;HFX16NUL3YP;demo_comp_cct_10000020;Sten Tuvesson;Möte med Sten Tuvesson;2020-04-13 20:00;1900-01-01 00:30;2020-04-14 20:30
user_demo_comp_cct_10000003;NYIWG;Ronald Karlström usr ;ZFR80EOS6FU;demo_comp_cct_10000021;Ronald Karlström;Möte med Ronald Karlström;2020-04-16 18:30;1900-01-01 00:30;2020-04-17 19:00
user_demo_comp_cct_10000004;IBZJE;Jacob Nordin usr ;XOY21MJH2CI;demo_comp_cct_10000022;Jacob Nordin;Möte med Jacob Nordin;2020-04-14 10:00;1900-01-01 00:30;2020-04-15 10:30
user_demo_comp_cct_10000005;KKXEV;Mira Edvardsson usr ;BXX59OJO3EM;demo_comp_cct_10000023;Mira Edvardsson;Möte med Mira Edvardsson;2020-04-16 09:30;1900-01-01 00:30;2020-04-17 10:00
user_demo_comp_cct_10000006;HVFCA;Anselm Björnberg usr ;WQW55OVR3UF;demo_comp_cct_10000024;Anselm Björnberg;Möte med Anselm Björnberg;2020-04-06 09:00;1900-01-01 00:30;2020-04-07 09:30
user_demo_comp_cct_10000007;FDPAJ;Niclas Hedqvist usr ;KWH39TIO1YN;demo_comp_cct_10000025;Niclas Hedqvist;Möte med Niclas Hedqvist;2020-04-13 10:00;1900-01-01 00:30;2020-04-14 10:30
user_demo_comp_cct_10000008;AYQGJ;Grace Bark usr ;NPC70XFS6UZ;demo_comp_cct_10000026;Grace Bark;Möte med Grace Bark;2020-04-13 15:00;1900-01-01 00:30;2020-04-14 15:30
user_demo_comp_cct_10000009;ISRFY;Gloria Fransson usr ;EKK36EVR1SO;demo_comp_cct_10000027;Gloria Fransson;Möte med Gloria Fransson;2020-04-15 09:30;1900-01-01 00:30;2020-04-16 10:00
user_demo_comp_cct_10000010;CSXAK;Veronica Back usr ;XYI13VGW7FB;demo_comp_cct_10000028;Veronica Back;Möte med Veronica Back;2020-04-15 19:00;1900-01-01 00:30;2020-04-16 19:30
user_demo_comp_cct_10000011;DQXUJ;Gry Brodin usr ;IFC54DVV8HZ;demo_comp_cct_10000029;Gry Brodin;Möte med Gry Brodin;2020-04-07 20:00;1900-01-01 00:30;2020-04-08 20:30
user_demo_comp_cct_10000012;SZHWD;Therése Lindén usr ;YAY88NNX6SU;demo_comp_cct_10000030;Therése Lindén;Möte med Therése Lindén;2020-04-16 19:30;1900-01-01 00:30;2020-04-17 20:00
user_demo_comp_cct_10000013;WMAQQ;Kira Ryd usr ;YGK63NOP0ZL;demo_comp_cct_10000031;Kira Ryd;Möte med Kira Ryd;2020-04-08 14:30;1900-01-01 00:30;2020-04-09 15:00
user_demo_comp_cct_10000014;KNMME;Karla Sjöholm usr ;NZI85KDP0DB;demo_comp_cct_10000032;Karla Sjöholm;Möte med Karla Sjöholm;2020-04-08 11:00;1900-01-01 00:30;2020-04-09 11:30
user_demo_comp_cct_10000015;BYDBG;Alrik Lindkvist usr ;BDL20EIH7IH;demo_comp_cct_10000033;Alrik Lindkvist;Möte med Alrik Lindkvist;2020-04-06 11:00;1900-01-01 00:30;2020-04-07 11:30
user_demo_comp_cct_10000016;YEGOZ;Nilla Bergendahl usr ;GZW79CMS6BP;demo_comp_cct_10000034;Nilla Bergendahl;Möte med Nilla Bergendahl;2020-04-07 11:30;1900-01-01 00:30;2020-04-08 12:00
user_demo_comp_cct_10000017;NWMVB;Albina Ek usr ;JOZ29QAT6EY;demo_comp_cct_10000035;Albina Ek;Möte med Albina Ek;2020-04-16 18:00;1900-01-01 00:30;2020-04-17 18:30
user_demo_comp_cct_10000018;UOLXI;Rebecca Broman usr ;COB13BOY8BN;demo_comp_cct_10000036;Rebecca Broman;Möte med Rebecca Broman;2020-04-16 17:30;1900-01-01 00:30;2020-04-17 18:00
user_demo_comp_cct_10000019;VWQOD;Norea Hed usr ;ZOB36VHJ9QV;demo_comp_cct_10000037;Norea Hed;Möte med Norea Hed;2020-04-07 19:00;1900-01-01 00:30;2020-04-08 19:30
user_demo_comp_cct_10000020;PAIDG;Gerda Selberg usr ;HPA28BNH6QJ;demo_comp_cct_10000038;Gerda Selberg;Möte med Gerda Selberg;2020-04-17 20:00;1900-01-01 00:30;2020-04-18 20:30
user_demo_comp_cct_10000021;WBRRU;Amelie Malmkvist;VBL96JWQ2RZ;demo_comp_cct_10000039;Amelie Malmkvist;Möte med Amelie Malmkvist;2020-04-14 18:30;1900-01-01 00:30;2020-04-15 19:00
user_demo_comp_cct_10000022;DJVJZ;Vilhelm Bladh;PCA03TNC7EA;demo_comp_cct_10000040;Vilhelm Bladh;Möte med Vilhelm Bladh;2020-04-16 12:30;1900-01-01 00:30;2020-04-17 13:00
